SNo,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,Close,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades ,PE Ratio,Face Value,OPS,NOPS,NPM
139,20-Oct-20,EQ,"1,207.50","1,227.40","1,205.90","1,203.55","1,224.60","1,223.95","1,218.32","1,305.50",738.75,13705994,"16,698,234,148.05",278115,25.49895833,1,96.97,222.84,22.3
140,21-Oct-20,EQ,"1,230.60","1,251.00","1,221.70","1,223.95","1,245.25","1,246.70","1,238.33","1,305.50",738.75,17820565,"22,067,746,473.40",311963,25.97291667,1,96.97,222.84,22.3
141,22-Oct-20,EQ,"1,239.95","1,250.00","1,223.00","1,246.70","1,232.00","1,233.30","1,237.77","1,305.50",738.75,10956548,"13,561,713,112.70",269781,25.69375,1,96.97,222.84,22.3
142,23-Oct-20,EQ,"1,243.50","1,248.45","1,231.20","1,233.30","1,236.55","1,235.80","1,238.33","1,305.50",738.75,7933126,"9,823,852,876.90",172764,25.74583333,1,96.97,222.84,22.3
143,26-Oct-20,EQ,"1,229.80","1,242.00","1,204.60","1,235.80","1,216.55","1,210.90","1,222.29","1,305.50",738.75,9786023,"11,961,384,155.70",197782,25.22708333,1,96.97,222.84,22.3
144,27-Oct-20,EQ,"1,226.00","1,236.00","1,197.85","1,210.90","1,235.00","1,233.10","1,216.83","1,305.50",738.75,12158922,"14,795,287,654.70",207342,25.68958333,1,96.97,222.84,22.3
145,28-Oct-20,EQ,"1,228.00","1,232.00","1,201.50","1,233.10","1,210.30","1,209.60","1,214.22","1,305.50",738.75,8285625,"10,060,586,819.90",202965,25.2,1,96.97,222.84,22.3
146,29-Oct-20,EQ,"1,200.60","1,204.45","1,178.50","1,209.60","1,190.50","1,187.20","1,189.63","1,305.50",738.75,11530152,"13,716,659,781.80",207330,24.73333333,1,96.97,222.84,22.3
147,30-Oct-20,EQ,"1,182.55","1,199.30","1,176.35","1,187.20","1,182.40","1,183.55","1,186.31","1,305.50",738.75,5761470,"6,834,878,663.65",137766,24.65729167,1,96.97,222.84,22.3
148,2-Nov-20,EQ,"1,194.35","1,225.00","1,177.50","1,183.55","1,216.25","1,215.25","1,198.51","1,305.50",738.75,10963040,"13,139,347,186.25",225643,25.31770833,1,96.97,222.84,22.3
149,3-Nov-20,EQ,"1,226.45","1,250.75","1,225.50","1,215.25","1,248.00","1,247.95","1,243.15","1,305.50",738.75,14082115,"17,506,178,550.75",278299,25.99895833,1,96.97,222.84,22.3
150,4-Nov-20,EQ,"1,252.00","1,264.80","1,230.00","1,247.95","1,254.00","1,257.40","1,251.63","1,305.50",738.75,11702411,"14,647,036,990.25",245494,26.19583333,1,96.97,222.84,22.3
151,5-Nov-20,EQ,"1,266.00","1,276.00","1,252.35","1,257.40","1,271.55","1,269.20","1,269.42","1,305.50",738.75,10716964,"13,604,287,092.55",217902,26.44166667,1,96.97,222.84,22.3
152,6-Nov-20,EQ,"1,266.25","1,310.00","1,265.50","1,269.20","1,308.00","1,307.65","1,294.89","1,310.00",738.75,17852862,"23,117,431,812.65",330534,27.24270833,1,96.97,222.84,22.3
153,9-Nov-20,EQ,"1,315.20","1,345.95","1,315.20","1,307.65","1,343.00","1,340.55","1,334.35","1,345.95",738.75,13144220,"17,539,012,739.75",235872,27.928125,1,96.97,222.84,22.3
154,10-Nov-20,EQ,"1,357.00","1,395.00","1,351.55","1,340.55","1,393.20","1,393.65","1,376.45","1,395.00",738.75,20758678,"28,573,194,384.70",460114,29.034375,1,96.97,222.84,22.3
155,11-Nov-20,EQ,"1,399.90","1,414.80","1,370.50","1,393.65","1,390.15","1,389.95","1,393.64","1,414.80",738.75,18058097,"25,166,453,033.45",319672,28.95729167,1,96.97,222.84,22.3
156,12-Nov-20,EQ,"1,377.40","1,388.55","1,360.00","1,389.95","1,372.85","1,371.70","1,373.54","1,414.80",738.75,13526974,"18,579,858,764.40",315193,28.57708333,1,96.97,222.84,22.3
157,13-Nov-20,EQ,"1,368.80","1,368.80","1,347.00","1,371.70","1,358.00","1,358.80","1,356.21","1,414.80",738.75,11236240,"15,238,648,107.85",205964,28.30833333,1,96.97,222.84,22.3
158,14-Nov-20,EQ,"1,367.80","1,374.95","1,365.20","1,358.80","1,371.00","1,369.70","1,370.51","1,414.80",738.75,917533,"1,257,485,129.45",30732,28.53541667,1,96.97,222.84,22.3
159,17-Nov-20,EQ,"1,385.80","1,412.60","1,380.60","1,369.70","1,408.80","1,408.45","1,401.66","1,414.80",738.75,15529950,"21,767,651,962.70",297055,29.34270833,1,96.97,222.84,22.3
160,18-Nov-20,EQ,"1,403.00","1,419.00","1,399.05","1,408.45","1,409.00","1,408.70","1,408.60","1,419.00",738.75,9431388,"13,285,065,362.80",209420,29.34791667,1,96.97,222.84,22.3
161,19-Nov-20,EQ,"1,389.70","1,399.45","1,368.00","1,408.70","1,370.80","1,374.35","1,383.36","1,419.00",738.75,10133441,"14,018,208,193.60",222482,28.63229167,1,96.97,222.84,22.3
162,20-Nov-20,EQ,"1,372.65","1,408.40","1,365.05","1,374.35","1,405.00","1,403.65","1,391.31","1,419.00",738.75,10202681,"14,195,115,496.00",235627,29.24270833,1,96.97,222.84,22.3
163,23-Nov-20,EQ,"1,415.00","1,423.65","1,375.35","1,403.65","1,397.30","1,394.60","1,398.55","1,423.65",738.75,12623318,"17,654,381,087.20",297107,29.05416667,1,96.97,222.84,22.3
164,24-Nov-20,EQ,"1,408.00","1,445.00","1,402.05","1,394.60","1,444.00","1,438.20","1,430.00","1,445.00",738.75,20077200,"28,710,493,464.85",341801,29.9625,1,96.97,222.84,22.3
